ID Jugador;ID_Equipo;Partidos_Jugados;Puntos;Asistencias;Reb_Off;Reb_Def;Rebotes;T2%;T3%;T1%;%_Pts_T2;%_Pts_T3;%_Pts_T1;Robos;Perdidas;Tapones;Tapones_Recibidos;Faltas_Cometidas;Faltas_Recibidas;Valoracion_PIR;eFG%;TS%;3PAr;AST_TO_Ratio;PPM;Game_Score;Minutos_Dec;Puntos_totales;Asistencias_totales;Rebotes_totales;Robos_totales;Tapones_totales;Perdidas_totales;Triples_metidos_totales;Tiros_media_distancia_metidos_totales;valoracion_total
5145;TEL;186;2,92;0,7;0,5;0,94;1,43;52,67;38,27;81,65;51,16;35,89;13,05;0,26;0,48;0,04;0,13;1,48;0,69;2,63;54,53;57,57;0,392;1,46;0,3;2,03;9,67;544;130;266;48;8;89;65;139;489
BED;CSK, CTU, DAR, GAL;75;7,24;1,36;0,51;1,35;1,85;42,79;37,68;86,68;39,4;47,48;13,09;0,85;1;0,09;0,13;2,72;1,81;5,41;49,34;52,8;0,477;1,36;0,36;4,29;19,85;543;102;139;64;7;75;86;107;406
13402;HTA;41;13,2;0,97;0,48;1,83;2,32;53,76;40,01;84,62;34,02;49,95;16,11;0,37;1,02;0,27;0,54;1,34;1,85;10,47;57,31;61,25;0,568;0,95;0,58;8,62;22,67;541;40;95;15;11;42;90;92;429
2536;ASV, OLY;85;6,33;0,61;1,29;1,75;3,05;60,95;29,99;82,14;70,97;16,26;12,81;0,47;1,08;0,55;0,22;1,64;1,09;6,73;57,17;60,13;0,237;0,57;0,39;4,89;16,34;538;52;259;40;46;92;29;191;572
8211;BER;141;3,81;1,21;0,67;1,2;1,87;52,67;31,27;76,68;50,58;39,5;9,72;0,6;0,86;0,06;0,19;2,05;0,8;3,18;49,97;52,24;0,467;1,41;0,27;2,59;14,15;537;171;264;85;9;121;71;136;449
BWK;CSK, NIK, ULK, ZAL;62;8,65;1,1;1,24;2,69;3,94;56,94;31,88;79,48;56,72;22,31;20,92;0,69;1,37;0,68;0,26;2,63;2,94;10,03;54,03;59,02;0,319;0,8;0,43;6,46;20,11;536;68;244;43;42;85;40;152;622
129;OLY, SIE, SOP;39;13,74;3,82;0,2;1,13;1,33;45;30,88;86,46;38,46;35,26;26,29;0,44;2,23;0,08;0,51;1,79;3,8;11,28;45,62;53,09;0,471;1,71;0,52;8,15;26,34;536;149;52;17;3;87;63;103;440
4603;BAS;73;7,34;1,32;1,51;2,28;3,78;59,41;0;62,27;82,06;0;17,88;0,7;0,64;0,34;0,45;1,68;2,55;10,4;59,41;61,21;0;2,05;0,38;6,96;19,17;536;96;276;51;25;47;0;220;759
5945;BAR, BER, DYR, MUN;73;7,31;4,1;0,88;2,19;3,07;47,52;40,98;78,39;43,1;39,37;17,61;1,01;2,26;0,08;0,24;2,15;2,23;9,67;53,29;57,3;0,414;1,81;0,33;6,32;22,44;534;299;224;74;6;165;70;115;706
3062;BAR, TEL;95;5,62;1,75;0,37;1,8;2,17;53,42;34,72;75,62;43,43;41,56;15;0,62;1,04;0,07;0,12;1,43;1,46;6,32;52,75;56,01;0,495;1,68;0,3;4,22;18,8;534;166;206;59;7;99;74;116;600
BJR;BAS, SIE, ZAL;55;9,69;1,89;0,6;1,42;2,02;46,82;34,93;91,17;58,15;20,26;21,55;0,93;1,75;0,07;0,36;2,22;2,62;8,29;48,15;54,44;0,237;1,08;0,44;5,99;21,97;533;104;111;51;4;96;36;155;456
7630;MAD;120;4,42;0,59;1,13;2,13;3,26;64,75;27,97;58,82;72,81;13,58;13,56;0,68;0,81;0,59;0,18;1,91;0,9;5,72;59,66;60,57;0,224;0,74;0,32;4,09;14,01;530;71;391;81;70;97;24;193;686
ARN;DAR, GAL, IST;94;5,63;1,75;0,16;0,62;0,78;48,89;34,27;71,73;34,04;48,77;17,21;0,21;1,05;0;0,11;1,31;1,6;4,35;50,34;53,87;0,577;1,67;0,38;3,14;15;529;165;73;20;0;99;86;90;409
12044;RED;88;6;3,17;0,24;1,24;1,48;40,63;35,31;81,89;33,4;46,57;20,03;0,43;1,42;0;0,26;1,52;1,86;6,31;47;52,18;0,517;2,23;0,38;4,25;15,82;528;279;130;38;0;125;82;88;555
6533;PAM, RED, UNK;59;8,92;4,59;0,49;1,97;2,46;43,85;33,56;76,94;37,68;38,85;23,57;0,54;2,22;0,02;0,2;0,83;3;11,21;46,92;52,62;0,473;2,07;0,42;6,85;21,45;526;271;145;32;1;131;68;99;661
JZJ;BAS;30;17,53;0,93;1,3;4,37;5,67;45,21;38,47;69,04;39,53;45,63;14,83;0,57;1,27;0,67;0,53;2,07;3,73;15,6;51,14;53,93;0,475;0,74;0,51;11,11;34,21;526;28;170;17;20;38;80;104;468
14008;PRS;36;14,61;4,53;0,31;1,19;1,5;49,51;34,36;82,94;34,63;38,81;26,63;0,89;2,06;0,06;0,5;1,89;4,22;14,36;50,57;57,64;0,518;2,2;0,77;10,49;18,97;526;163;54;32;2;74;68;91;517
12609;HTA, PRS;73;7,19;1,05;0,77;2,32;3,08;56,05;36,63;76,71;47,63;39,32;12,99;0,59;0,59;0,29;0,24;1,57;1,38;7,93;55,55;58,33;0,457;1,8;0,32;5,74;22,21;525;77;225;43;21;43;69;125;579
357;CHL, GAL, RED;47;11,17;3,87;0,94;2,93;3,87;56,19;33,24;83,56;59,08;27,35;13,52;0,83;2,15;0,17;0,28;1,59;2,17;13,15;54,02;57,4;0,343;1,8;0,4;8,93;27,69;525;182;182;39;8;101;48;155;618
4997;DARUSSAFAKA TEKFEN ISTANBUL, GAL, IST;78;6,71;1,42;0,38;1,28;1,67;44,05;47,13;85,89;15,29;74,62;10,14;0,42;0,72;0,04;0,1;1,99;1,5;6,31;64,1;66,38;0,753;1,99;0,32;4,83;20,81;523;111;130;33;3;56;130;40;492
11217;PAM, TEL;59;8,85;1,64;0,95;2,61;3,56;59,78;35,44;79,21;50,62;35,64;13,8;0,71;1,15;0,25;0,3;2,05;1,87;9,63;56,86;59,86;0,442;1,43;0,42;6,85;20,82;522;97;210;42;15;68;62;132;568
1335;MIL, OLY, TEL;74;7,05;0,69;1,59;2,54;4,14;61,42;12,44;66,4;82,39;0,56;17,05;0,58;0,92;1,3;0,47;2,3;1,91;9,44;60,47;62,59;0,022;0,75;0,43;6,6;16,32;522;51;306;43;96;68;1;215;699
3622;CED;43;12,07;1,49;2,35;3,86;6,21;56,12;29,4;62,83;81,73;1,7;16,57;0,53;1,67;0,21;0,42;2,37;3,79;14,63;55,81;57,9;0,026;0,89;0,49;9,18;24,41;519;64;267;23;9;72;3;212;629
4058;BAS, MUN, PAR;105;4,92;1,38;0,38;0,83;1,21;45,88;30,82;76,39;40,66;40,04;19,37;0,47;0,87;0,06;0,16;1,9;1,63;3,79;46,05;50,61;0,494;1,6;0,35;2,81;14,08;517;145;127;49;6;91;69;105;398
2823;BAR, GAL, PAR, UNK;69;7,42;0,46;1,54;2,85;4,39;58,6;0;71,81;74,62;0;25,4;0,36;1,73;0,64;0,36;2,35;2,27;8,42;58,6;63,11;0;0,27;0,46;5,33;16,16;512;32;303;25;44;119;0;191;581
TFK;ASV, STR;103;4,96;2,48;0,22;1,19;1,42;46,99;39,93;80,07;23,93;65,18;10,98;0,7;1,36;0,05;0,05;1,67;1,31;5,41;55,78;58,2;0,681;1,82;0,29;3,75;16,89;511;255;146;72;5;140;111;61;557
ADG;BAR, LIE, PAN, ULK, ZAL;84;6,08;2,52;0,25;0,79;1,03;50,35;37,5;92,87;49,68;35,21;15,08;0,36;2,02;0,04;0,12;1,31;1,25;5,08;52,64;56,97;0,388;1,25;0,39;3,52;15,77;511;212;87;30;3;170;60;127;427
12796;DUB;36;14,19;1,19;2;4,06;6,06;61,74;32,04;82,15;68,92;12,26;18,82;0,72;1;0,72;0,31;2,58;3,19;17,36;59,2;63,58;0,186;1,19;0,64;11,98;22,25;511;43;218;26;26;36;21;176;625
6068;ASV, ULK;95;5,37;0,63;0,57;2;2,57;54,02;33,34;70,95;50,2;41,16;8,64;0,31;0,73;0,36;0,22;1,7;0,79;4,58;52,14;53,77;0,47;0,87;0,33;3,43;16,38;510;60;244;30;34;69;70;128;435
8192;ZAL;42;12,09;0,83;1,55;2,98;4,52;63,33;40,42;70,82;68,12;18,89;12,99;0,55;1,17;0,67;0,29;2,67;2,34;12,74;62,73;64,58;0,225;0,71;0,53;9,26;22,7;508;35;190;23;28;49;32;173;535
7869;CSK, PAN;73;6,95;2,7;0,59;2,11;2,7;48,92;29,4;82,07;43,06;37,94;19,12;1,31;1,44;0,18;0,26;1,8;1,84;8,22;46,54;51,4;0,494;1,88;0,3;5,77;23,23;507;197;197;96;13;105;64;109;600
10791;BER;89;5,67;0,23;1,71;2,92;4,63;67,09;0;59,87;84,48;0;15,64;0,27;0,91;0,91;0,18;1,86;1,45;8,43;67,09;67,16;0;0,25;0,39;5,38;14,39;505;20;412;24;81;81;0;213;750
5193;GAL, ZAL;32;15,72;3,65;0,28;2,62;2,91;43,64;43,42;85,56;28,64;54,89;16,49;1,13;3;0,09;0,4;3,15;4,13;13,88;55,72;59,93;0,562;1,22;0,57;9,82;27,35;503;117;93;36;3;96;92;72;444
9540;OLY, RED;78;6,41;0,33;1,31;2,18;3,48;66,07;0;69,84;83,24;0;16,76;0,51;0,81;0,5;0,37;2,25;1,6;7,59;66,07;67,98;0;0,41;0,38;5,42;16,86;500;26;272;40;39;63;0;208;592
9004;RED, TEL;46;10,85;1,33;1;4,63;5,63;46,8;30,98;76,33;53,68;29,4;16,86;0,52;2,17;0,32;0,15;2,57;2,74;10,26;46,68;50,66;0,356;0,61;0,48;6,02;22,51;499;61;259;24;15;100;49;134;472
11970;PAM;52;9,57;2,77;0,11;0,73;0,85;46,38;30,11;83,08;32,62;36,1;31,37;0,52;1,6;0,02;0,35;2,06;3,15;7,81;45,74;54,5;0,532;1,74;0,56;5,73;17,13;498;144;44;27;1;83;60;81;406
JBJ;BAS, MAD, OLY, ZAL;90;5,53;0,33;1,32;2,3;3,61;55,3;0;67,46;77,07;0;22,9;0,23;0,93;1,28;0,32;2,03;1,75;7,11;55,3;59,09;0;0,36;0,4;4,67;13,83;498;30;325;21;115;84;0;192;640
10545;ASV, PAM;75;6,6;0,72;2,2;2,65;4,85;64,21;0;47,53;84,84;0;15,16;0,51;0,84;0,44;0,26;2,35;1,92;8,92;64,21;62,42;0;0,86;0,38;6,1;17,16;495;54;364;38;33;63;0;210;669
11971;PAM, TEL;70;7,07;0,51;0,9;2,69;3,58;56,66;36,41;71,38;34,31;55,13;10,49;0,69;0,54;0,31;0,21;2,29;1,14;6,77;55,39;57,33;0,625;0,95;0,39;5,21;18,24;495;36;251;48;22;38;91;85;474
9601;BER, ZAL;63;7,84;1,21;0,9;3,46;4,37;46,36;36,2;85,38;41,3;45,53;13,15;0,48;0,82;0,18;0,25;2,51;1,71;8,05;50,21;53,63;0,485;1,47;0,37;5,44;21,21;494;76;275;30;11;52;75;102;507
531;BUD, CED, PAR, ROM;72;6,85;3,19;0,25;1,29;1,54;41,06;33;74,93;49,48;38,35;12,17;0,69;1,96;0;0,3;2,32;1,92;5,12;44,36;47,11;0,391;1,63;0,31;3,62;21,77;493;230;111;50;0;141;63;122;369
3211;ZAL;94;5,23;1,11;0,47;0,83;1,3;43,29;35,99;68,86;38,21;51,8;9,96;0,4;0,8;0,11;0,23;2;1,02;2,99;48,86;50,77;0,521;1,39;0,34;2,76;15,49;492;104;122;38;10;75;85;94;281
1518;MIL;156;3,15;0,41;0,67;1,57;2,24;61,15;38,04;71,1;33,83;61,94;4,09;0,4;0,29;0,17;0,02;2,02;0,32;2,92;58,44;59,19;0,662;1,44;0,25;2,45;12,77;492;64;349;62;26;44;102;83;455
LOO;CSK, MAL;56;8,73;0,55;1,27;3,39;4,66;58,45;25,95;65,64;79,33;4,29;16,38;0,36;1,09;0,3;0,43;2;1,98;9,5;56,98;59,27;0,075;0,51;0,48;6,36;18,07;489;31;261;20;17;61;7;194;532
13370;PAR;42;11,62;2,17;0,12;1,19;1,31;49,98;33,88;78,89;46,3;37,48;16,17;0,52;1,31;0;0,57;1,97;2,88;8,62;50,35;54,22;0,443;1,66;0,62;6,69;18,59;488;91;55;22;0;55;61;113;362
9748;KHI;43;11,3;1,67;1,14;3,84;4,98;56,39;41,56;82,4;49,44;36,46;14,21;0,56;0,93;0,42;0,32;2,48;1,77;12,51;58,77;61,98;0,4;1,79;0,46;9,09;24,57;486;72;214;24;18;40;59;120;538
11064;BAS, MIL, VIR;76;6,36;2,88;0,15;1,04;1,18;47,76;35,32;79,27;39,78;45,39;14,94;0,39;1,58;0,01;0,17;1,74;1,52;5,47;50,4;53,89;0,507;1,82;0,4;3,95;15,97;483;219;90;30;1;120;73;96;416
4862;MUN, TEL;65;7,42;2,14;0,51;0,95;1,46;46,17;40,68;87,8;36,17;39,76;24,07;0,52;1,45;0,08;0,26;2,05;2,11;6,72;52,91;59,66;0,454;1,48;0,39;4,97;18,92;482;139;95;34;5;94;64;87;437
12606;DUB;38;12,68;6,11;0,42;2,26;2,68;55,57;37,95;85,25;59,78;17,51;22,79;0,97;2;0,18;0,55;2,76;3,13;15,71;55,87;61,78;0,222;3,06;0,43;11,39;29,55;482;232;102;37;7;76;28;144;597
BRB;BAS, IST;48;10;1,17;0,62;2,29;2,92;40,93;34,95;80,33;37,51;41,28;21,25;0,79;1,13;0,14;0,27;2,19;2,88;8,52;46,24;51,63;0,462;1,04;0,43;5,96;23,29;480;56;140;38;7;54;66;90;409
6739;VIR;117;4,09;3,42;0,36;1,77;2,13;48,82;32,71;72,69;32,07;52,63;15,05;1,05;1,09;0,12;0,14;2,62;1,32;5,89;48,98;52,31;0,62;3,14;0,21;4,24;19,06;478;400;249;123;14;127;84;77;689
KNO;LIE, ZAL;71;6,73;1,62;0,41;1,61;2,02;44,71;32,05;84,38;54,41;25,15;20,47;0,59;1,39;0,07;0,48;2,21;1,68;4,9;45,72;51,19;0,301;1,16;0,34;3,75;19,95;478;115;143;42;5;99;40;130;348
JWO;BAR;45;10,6;0,93;0,84;3,2;4,04;49,66;36,2;85,79;65,38;15,7;18,88;1;1,13;0,2;0,4;2,13;2,4;10,69;50,5;55,57;0,18;0,82;0,42;7,48;25,22;477;42;182;45;9;51;25;156;481
12613;PRS, ULK;74;6,4;0,85;1,35;2,68;4,03;56,43;36,25;84,79;29,96;54,4;15,59;0,57;0,56;0,22;0,17;2,84;1,73;7,29;55,09;59,06;0,653;1,53;0,29;5,12;22,14;474;63;298;42;16;41;86;71;539
KNK;BAM;54;8,76;2,22;0,52;2,26;2,78;44,68;40,37;81,92;24,95;55,8;19,23;0,35;1,46;0,06;0,31;1,96;2,56;8,85;54,56;59,3;0,623;1,52;0,31;5,9;27,92;473;120;150;19;3;79;88;59;478
4655;ASV, PRS, VIR;94;5,01;0,36;1,14;1,55;2,69;60,7;0;82,26;70,06;0;29,89;0,46;0,68;0,75;0,23;2,11;1,29;6,08;60,7;67,84;0;0,53;0,37;4,53;13,45;471;34;253;43;70;64;0;165;572
1948;BAR, BAS;49;9,57;0,63;1,66;2,51;4,16;60,13;0;71,96;83,6;0;16,44;0,27;1,66;0,63;0,29;2,69;2,04;9,39;59,94;62,66;0,003;0,38;0,57;6,58;16,71;469;31;204;13;31;81;0;196;460
152;BAS, LIE, MIL, PAM;73;6,33;5,04;0,26;1,62;1,88;36,19;36,15;71,81;23,82;59,16;17,1;1,36;1,55;0,01;0,18;2,26;2,01;8,7;47,44;51,05;0,624;3,26;0,23;6,19;27,4;462;368;137;99;1;113;91;55;635
399;ZAL;84;5,46;0,71;1,05;1,53;2,58;62,03;0;80,75;78,41;0;21,59;0,26;0,96;0,19;0,34;2,58;1,45;5,15;61,66;66,36;0,006;0,74;0,44;3,87;12,4;459;60;217;22;16;81;0;180;433
ATP;ZAL;35;13,06;2,17;0,34;1,31;1,66;51,98;41,75;87,83;23,21;49,88;26,91;0,57;1,57;0,03;0,37;2,63;4,03;12,03;58,8;66,11;0,641;1,38;0,56;8,78;23,36;457;76;58;20;1;55;76;53;421
13374;VIR;64;7,14;0,83;1,56;2,11;3,67;59,86;0;72,32;74,37;0;25,63;0,6;1,09;0,57;0,26;2,14;2,41;9,21;59,86;64,34;0;0,76;0,41;6,17;17,24;457;53;235;38;36;70;0;170;590
2829;CHO, MAL, MUN, PAN, RED;69;6,62;2,22;0,69;1,74;2,43;48,4;26,21;64,79;67,79;18,41;13,77;0,74;1,57;0,14;0,49;1,99;1,77;5,85;46,12;48,64;0,251;1,42;0,35;4,19;19,04;457;153;168;51;10;108;28;155;404
3431;OLY, PAR;60;7,57;2,23;0,25;1,57;1,82;45,29;33,01;73,28;57,26;19,18;23,57;0,67;1,65;0,05;0,33;1,88;2,62;6,83;46,28;51,69;0,235;1,35;0,33;4,5;22,73;454;134;109;40;3;99;29;130;410
KZY;BAM, BIL, MAD, UNK;55;8,25;0,91;1,91;3,74;5,65;65,27;50,13;78,3;81,94;1,31;16,73;0,54;1,2;1,45;0,2;2,76;1,69;12,13;65,41;68,45;0,014;0,76;0,38;8,14;21,96;454;50;311;30;80;66;2;186;667
9835;KHI, MUN;37;12,27;2,27;2,38;4,19;6,57;52,08;0;73,83;78,46;0;21,62;1,14;2,44;0,59;0,79;2,05;3,65;15,81;51,93;56,54;0,003;0,93;0,53;10,14;23,2;454;84;243;42;22;90;0;178;585
6399;IST, ULK;142;3,19;0,51;0,96;1,27;2,23;67,99;0;49,67;86,18;0;13,91;0,33;0,6;0,3;0,16;1,87;0,91;3,74;67,73;65,84;0,004;0,84;0,34;2,74;9,51;453;72;316;47;42;85;0;195;531
7464;BAR;97;4,67;0,7;1,02;1,89;2,91;58,22;27,32;76,71;58,32;28,61;13,22;0,47;0,47;0,12;0,13;1,52;0,93;5,31;51,15;54,02;0,411;1,48;0,29;3,78;15,99;453;68;282;45;11;46;43;132;515
6643;PAM;122;3,69;0,46;0,54;1,39;1,93;51,31;39,88;78,79;35,54;52,07;12,41;0,25;0,52;0,05;0,16;1,24;0,8;3,56;56,05;58,76;0,557;0,89;0,29;2,53;12,83;450;56;235;31;6;63;78;80;434
1351;PAM;60;7,48;1,31;0,3;1,2;1,5;49,01;37,36;81,46;30,78;48,72;20,49;0,58;1,23;0,02;0,33;1,73;2,47;6,49;53,1;58,19;0,581;1,06;0,38;4,53;19,86;449;79;90;35;1;74;73;69;389
DHD;BAS, IST, PAN;56;8;0,88;1,71;3,29;5;56,02;0;70,43;83,04;0;16,98;0,71;2,04;0,3;0,5;2,46;2,46;9,14;55,85;58,86;0,003;0,43;0,42;5,64;19,03;448;49;280;40;17;114;0;186;512
7527;BAR, PAM;41;10,88;2,2;0,78;1,73;2,52;54,8;33,58;86,11;38,12;47,69;14,12;0,59;1,51;0,17;0,22;2,05;2,15;9,34;52,25;55,97;0,576;1,45;0,54;7,03;20;446;90;103;24;7;62;71;85;383
11836;MUN, PAR;60;7,39;1,15;0,92;2,42;3,33;51,99;37,81;67,57;49,54;41,27;9;0,69;0,88;0,27;0,18;2,45;1,53;7,17;54,04;55,63;0,433;1,3;0,38;5,23;19,69;443;69;200;41;16;53;61;110;430
5112;TEL, ULK;35;12,57;3,74;0,34;2,32;2,66;44,63;35,71;84,68;38,13;36,79;25,02;0,86;2,35;0,02;0,48;2,29;4,14;12,57;48,61;55,53;0,446;1,59;0,55;8,3;22,7;440;131;93;30;1;82;54;84;440
BGQ;BER, LMG, MUN;63;6,98;3,02;0,54;1,08;1,62;46,68;38,24;85,98;21,87;65,45;12,71;0,27;1,4;0,02;0,11;1,75;1,71;6,89;54,25;57,49;0,709;2,16;0,31;4,9;22,19;440;190;102;17;1;88;96;48;434
9664;IST, PRS;81;5,42;0,8;1,01;2,33;3,34;54,61;39,55;80,01;36,03;51,32;12,76;0,44;0,49;0,31;0,11;1,25;1,05;7,11;57,28;60,05;0,567;1,62;0,32;4,85;16,84;439;65;271;36;25;40;75;79;576
4902;DAR, PAM;62;7,03;0,53;0,98;2,53;3,52;59,69;48,5;77,78;48,18;45,37;6,42;0,32;0,52;0,26;0,15;1,55;0,85;7,9;65,38;66,51;0,436;1,03;0,4;5,75;17,43;436;33;218;20;16;32;66;105;490
2091;BAM, OLY;52;8,36;1,73;0,25;1,52;1,77;45,45;35,6;91,71;39,53;37,33;23,2;0,5;1,23;0;0,23;2,25;2,13;6,75;48,99;55,82;0,446;1,41;0,4;4,99;20,86;435;90;92;26;0;64;54;86;351
4844;BER, DAR;46;9,46;3,19;0,98;2,83;3,81;48,24;34,97;74,61;61,67;24,16;14,24;0,76;1,93;0,28;0,37;2,04;1,91;10,07;49,36;52,44;0,265;1,65;0,37;6,97;25,35;435;147;175;35;13;89;35;134;463
13699;TEL;45;9,6;4,26;0,49;1,42;1,91;49,56;31,19;79,9;50,04;36,14;13,9;1,27;2,11;0,11;0,22;2,55;1,72;8,64;48,36;51,67;0,433;2,02;0,49;6,86;19,59;432;192;86;57;5;95;52;108;389
4945;IST, OLY;50;8,6;0,96;0,22;1,82;2,04;38,26;39,55;69,38;18,13;60,75;21,14;0,92;0,86;0,14;0,24;2,22;2,46;7,08;52,66;56,62;0,684;1,12;0,46;5,42;18,58;430;48;102;46;7;43;87;39;354
7025;BER;156;2,75;0,68;0,28;0,65;0,94;40,27;33,4;88,25;18,1;73,29;8,41;0,44;0,42;0;0,1;1,72;0,89;1,71;47,79;50,09;0,765;1,6;0,21;1,46;13,32;429;105;146;68;0;66;105;39;267
14163;RED;32;13,4;3,69;0,59;1,57;2,16;51,49;36,45;81,17;42,95;44,11;13,08;0,66;1,91;0,06;0,44;2,56;2,31;10,81;53,06;56,09;0,492;1,93;0,67;8,71;20,01;429;118;69;21;2;61;63;92;346
JRC;OLY, PAN;66;6,5;0,55;0,83;1,91;2,74;52,45;26,93;80,91;74,09;4,89;20,96;0,24;0,85;0,21;0,3;1,93;1,6;5,98;51,5;56,77;0,079;0,64;0,52;4,2;12,41;429;36;181;16;14;56;7;159;395
13386;BER, MIL, MUN;56;7,64;0,68;1,32;2,59;3,91;60,55;0;71,67;80,35;0;19,59;0,81;1,46;0,15;0,18;2,6;2,35;8,6;59,49;62,85;0,018;0,47;0,48;5,6;15,91;428;38;219;45;8;82;0;172;482
LTT;LIE, OLY;58;7,36;1,33;0,17;1,69;1,86;45,88;40,41;82,67;26,22;54,78;18,97;0,48;1,22;0,02;0,16;1,29;2,24;7,21;54,9;59,62;0,613;1,09;0,38;4,68;19,18;427;77;108;28;1;71;78;56;418
8002;DARUSSAFAKA TEKFEN ISTANBUL, MAL;46;9,28;3,15;0,7;2,09;2,78;45,08;28,48;64,32;66,05;19,61;14,29;0,91;1,74;0,2;0,5;1,67;2,11;8,52;44,51;47,17;0,239;1,81;0,43;6,17;21,79;427;145;128;42;9;80;28;141;392
11247;MAD;72;5,92;1,79;0,67;1,54;2,21;53,27;36,74;68,5;54,81;34,45;10,62;0,65;0,81;0,05;0,32;2,04;1,25;5,83;53,97;55,86;0,378;2,22;0,38;4,55;15,52;426;129;159;47;4;58;49;117;420
14013;ASV;30;14,2;3,1;0,4;1,97;2,37;48,64;42,01;83,81;40,42;45;14,58;0,9;1,4;0,07;0,33;2,7;2,7;12,53;55,29;58,89;0,462;2,21;0,56;9,87;25,57;426;93;71;27;2;42;64;86;376
12731;ASV;68;6,26;1,07;1,35;2,79;4,15;65,07;24,44;57,39;67,22;19,8;13,19;0,86;1,16;1,08;0,07;1,97;1,15;8,32;55,31;56,32;0,343;0,93;0,31;5,77;20,26;426;73;282;58;73;79;28;143;566
2934;KHI;36;11,83;1,14;1,44;3,36;4,81;57,1;100;81,39;77,98;1,38;20,65;0,94;1,14;0,81;0,39;2,86;2,78;13,89;57,72;62,57;0,007;1;0,66;9,82;17,98;426;41;173;34;29;41;2;166;500
11239;BAS;56;7,59;0,5;1,3;3,11;4,41;58,26;35,75;75,38;74,85;8,36;16,72;0,23;1,05;0,41;0,27;2,16;1,61;8,45;57,76;61,14;0,108;0,48;0,44;5,62;17,19;425;28;247;13;23;59;12;159;473
LUR;BAM, BAS, MAL, PAR;59;7,19;0,73;1,39;2,68;4,07;54,49;0;63,22;79,69;0;20,28;0,32;1,25;0,24;0,41;1,51;2,34;8,41;54,32;57,17;0,003;0,58;0,45;5,22;16,14;424;43;240;19;14;74;0;169;496
1433;CAN, LIE, OLY;57;7,42;1,88;0,51;1,79;2,3;43,89;30,95;69,93;43,98;38,37;17,71;0,88;1,33;0,21;0,28;1,86;2,37;6,81;45,03;48,74;0,452;1,41;0,36;4,63;20,87;423;107;131;50;12;76;54;93;388
JIS;GAL, UNK;46;9,15;0,91;0,28;1,96;2,24;37,04;41,65;85,02;28,51;49,83;21,6;0,61;1,24;0,04;0,11;1,52;3;8,39;49,99;55,84;0,509;0,74;0,43;5,34;21,2;421;42;103;28;2;57;70;60;386
5781;TEL;55;7,66;2,31;1,36;2,55;3,91;54,75;30,34;46,58;63,22;23,58;13,27;0,97;1,23;0,22;0,42;2,24;2,67;9,29;51,89;51,99;0,31;1,87;0,31;6,24;24,49;421;127;215;53;12;68;33;133;511
7125;BER;43;9,79;5,16;0,4;1,4;1,79;42,39;31,19;88,22;26,6;44,86;28,52;1,09;2,28;0,02;0,26;2,11;3,14;10,97;45,04;53,45;0,605;2,27;0,47;7,61;20,78;421;222;77;47;1;98;63;56;472
11052;HTA, MUN, PAR, ULK;89;4,72;1,7;0,32;0,84;1,17;51,87;29,37;85,6;50,41;30,03;19,56;0,6;0,78;0,13;0,16;1,57;1,17;4,59;48,65;53,92;0,412;2,19;0,37;3,54;12,69;420;151;104;53;12;69;42;106;408
13382;HTA, TEL;45;9,33;1,38;1,02;2,07;3,09;46,87;38,69;89,23;54,26;24,26;21,46;0,56;0,98;0;0,24;2,02;2,29;9,09;49,83;55,95;0,265;1,41;0,4;6,48;23,07;420;62;139;25;0;44;34;114;409
ANB;IST, SIE;33;12,73;1,67;0,33;1,79;2,12;46,18;36,25;83,3;46,63;27,2;26,18;0,49;2,06;0,06;0,61;1,24;3,43;10,39;48,9;55,97;0,331;0,81;0,53;7,29;23,98;420;55;70;16;2;68;38;98;343
1925;MIL, ULK;48;8,73;0,56;0,77;2,54;3,31;53,68;33,33;87,78;42;35,78;22,18;0,27;0,73;0,1;0,08;2,52;1,81;7,54;51,92;58,12;0,478;0,77;0,43;5,49;20,48;419;27;159;13;5;35;50;88;362
2906;PAN;57;7,26;1,07;0,67;2,62;3,28;56,15;36,71;64,11;26,59;65,15;8,2;0,54;0,81;0,19;0,17;2,02;1,28;6,83;55,37;56,52;0,714;1,33;0,31;5;23,55;414;61;187;31;11;46;90;55;389
KIW;CTU, MIL;105;3,93;1,75;0,44;1,47;1,91;48,46;34,1;68,14;56,78;24,79;18,66;0,46;0,92;0,04;0,12;1,82;1,11;4,19;49,25;52,7;0,293;1,91;0,26;2,91;14,98;413;184;200;48;4;96;34;117;440
4264;ASV, GSS, KHI, ZAL;54;7,65;3,28;0,37;1,61;1,98;46,87;29,04;77,13;32,94;52,3;14,78;1,02;1,34;0,05;0,18;2,2;2,02;7,26;44,78;48,26;0,631;2,45;0,34;5,33;22,37;413;177;107;55;3;72;72;68;392
13383;MUN, PAN, TEL;68;6,04;0,77;1,81;1,88;3,69;60,69;13,38;42,8;87,69;1,58;10,93;0,6;1,34;0,81;0,41;2,82;1,76;6,29;58,59;57,2;0,052;0,57;0,36;4,61;16,75;411;52;251;41;55;91;2;180;428
ARO;ULK;67;6,14;0,66;0,09;0,85;0,94;51,72;35,83;70,99;45,26;38,7;16,07;0,49;0,7;0;0,22;2,16;1,58;3,6;52,64;55,73;0,451;0,93;0,33;3,12;18,85;411;44;63;33;0;47;53;93;241
